Timestamp,Crop,Crop Type,Fertility Class,Nutrient,Nutrient Rates (N) per ha,Fertilizer Rate (Urea) per ha,Fertilizer Rate (CAN) per ha,Nutrient Rates (P2O5) per ha,Fertilizer Rate (SSP) per ha,Nutrient Rates (K2O) per ha,Fertilizer Rate (MOP) per ha,Zone,Fertilizer Application -Time and Method,Fertilizer Rate (NPK) per ha,Fertilizer Rate (TSP) per ha,Rice,Cotton,Nutrient Rates (Bo) per ha,Fertilizer Rate per ha,Fertilizer Rate (NPK + others) per ha,Type [Rice]
6/8/2018 14:34:41,Maize,All,Low,Nitrogen,120kg,5 bags (260kg),9 bags (462kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with sod.",20-10-10 (600kg or 12 bags),,,,,,,
6/8/2018 14:39:02,Maize,All,Low,Nitrogen,100kg,5 bags (260kg),9 bags (462kg),,,,,Southern Guinea Savannah,"Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with soil.",20-10-10 (600kg or 12 bags),,,,,,,
6/8/2018 14:49:32,Maize,All,Low,Nitrogen,70kg,3 bags (150kg),5 bags (250kg),,,,,Forest,"Apply all the Nitrogen, Phosphorus and Potassium at planting or at 2 - 3 weeks after planting (WAP). However, under continuous cropping, split-apply the Nitrogen at planting and 5-6 WAP.",20-10-10 (350kg or 7 bags),,,,,,,
6/8/2018 14:58:00,Maize,All,Medium,Nitrogen,60kg,2.5 bags (133kg),4.5 bags (231kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with sod.",20-10-10 (300kg or 6 bags),,,,,,,
6/8/2018 15:06:43,Maize,All,High,Nitrogen,30kg,1.5 bags (63kg),2.25 bags (115kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with sod.",20-10-10 (150kg or 3 bags),,,,,,,
6/8/2018 15:18:30,Maize,All,Low,Phosphorus,,,,60kg,7 bags (333kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:27:26,Maize,All,Low,Phosphorus,,,,50kg,6 bags (278kg),,,Southern Guinea Savannah,Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:29:08,Maize,All,Low,Phosphorus,,,,50kg,3 bags (139kg),,,Forest,Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:30:43,Maize,All,Medium,Phosphorus,,,,30kg,3 bags (167kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:35:22,Maize,All,Low,Potassium,,,,,,60kg,2 bags (100kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
